split,annotation_id,image_id,file_name,original_name,blood_group,category_id,category_name,bbox_x,bbox_y,bbox_w,bbox_h,bbox_area,bbox_area_ratio,image_width,image_height,image_path
train,1,0,B- (8)_jpg.rf.Y4gSPakmKnxXtqrN20gd.jpg,B- (8).jpg,B-,2,B,1975.51,138.98,544.05,616.32,335308.896,0.14610460341473958,2644,868,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (8)_jpg.rf.Y4gSPakmKnxXtqrN20gd.jpg
train,2,1,AB- (59)_jpg.rf.XqNFkV6f7JNjc2LlN7za.jpg,AB- (59).jpg,AB-,1,A,19.2,0.0,212.54,300.31,63827.8874,0.2132700509886996,991,302,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (59)_jpg.rf.XqNFkV6f7JNjc2LlN7za.jpg
train,3,1,AB- (59)_jpg.rf.XqNFkV6f7JNjc2LlN7za.jpg,AB- (59).jpg,AB-,2,B,378.2,2.2,242.28,299.8,72635.54400000001,0.2426993404214086,991,302,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (59)_jpg.rf.XqNFkV6f7JNjc2LlN7za.jpg
train,4,2,A+ (7)_jpg.rf.YMFIioqVqZGqD5EMeCtF.jpg,A+ (7).jpg,A+,3,D,44.4,214.4,450.68,392.6,176936.96800000002,0.1461123715384012,1995,607,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (7)_jpg.rf.YMFIioqVqZGqD5EMeCtF.jpg
train,5,2,A+ (7)_jpg.rf.YMFIioqVqZGqD5EMeCtF.jpg,A+ (7).jpg,A+,1,A,1514.4,68.4,462.04,534.21,246826.38840000003,0.203826195141891,1995,607,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (7)_jpg.rf.YMFIioqVqZGqD5EMeCtF.jpg
train,6,3,A+ (14)_jpg.rf.sSksp3LBJpQi1ohZIjYl.jpg,A+ (14).jpg,A+,1,A,140.5,90.5,469.86,624.35,293357.091,0.15050251335943657,2538,768,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (14)_jpg.rf.sSksp3LBJpQi1ohZIjYl.jpg
train,7,3,A+ (14)_jpg.rf.sSksp3LBJpQi1ohZIjYl.jpg,A+ (14).jpg,A+,3,D,2070.5,140.51,337.56,528.33,178343.0748,0.09149627474881797,2538,768,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (14)_jpg.rf.sSksp3LBJpQi1ohZIjYl.jpg
train,8,4,B- (95)_jpg.rf.Y9dEJiYDftKo36eOzT7I.jpg,B- (95).jpg,B-,2,B,305.2,5.2,332.48,335.8,111646.78400000001,0.3213051263529595,1019,341,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (95)_jpg.rf.Y9dEJiYDftKo36eOzT7I.jpg
train,9,5,A- (43)_jpg.rf.s3BKqwgQwOZuiTzXcYb7.jpg,A- (43).jpg,A-,1,A,1.33,8.0,247.49,314.57,77852.9293,0.2074086991155158,1104,340,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A- (43)_jpg.rf.s3BKqwgQwOZuiTzXcYb7.jpg
train,10,6,AB+ (65)_jpg.rf.zdz4tb5LQL1bIP4xVzJ3.jpg,AB+ (65).jpg,AB+,1,A,405.63,16.55,190.8,221.02,42170.616,0.18343344816786722,927,248,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (65)_jpg.rf.zdz4tb5LQL1bIP4xVzJ3.jpg
