split,file_name,blood_group,category_name,bbox_area_ratio,r_mean,g_mean,b_mean,r_std,g_std,b_std,gray_mean,gray_std,edge_density
train,B- (8)_jpg.rf.Y4gSPakmKnxXtqrN20gd.jpg,B-,B,0.14610460341473958,162.0918,129.14462,107.638176,19.65155,61.124416,53.500786,132.95824,43.516975,0.2493613922841864
train,AB- (59)_jpg.rf.XqNFkV6f7JNjc2LlN7za.jpg,AB-,A,0.2132700509886996,118.9969,146.87508,144.9213,38.509953,27.268394,26.323336,136.93109,26.804707,0.24976525821596243
train,AB- (59)_jpg.rf.XqNFkV6f7JNjc2LlN7za.jpg,AB-,B,0.2426993404214086,156.55858,124.71824,109.18277,14.356998,41.686024,42.521423,130.1532,31.214203,0.25
train,A+ (7)_jpg.rf.YMFIioqVqZGqD5EMeCtF.jpg,A+,D,0.1461123715384012,132.67554,80.72192,79.949486,19.275665,56.340153,55.12418,97.78231,42.718666,0.24996755866240133
train,A+ (7)_jpg.rf.YMFIioqVqZGqD5EMeCtF.jpg,A+,A,0.203826195141891,100.69649,104.385155,104.72674,41.639877,54.88826,54.75988,103.26946,49.39341,0.24590362908119917
train,A+ (14)_jpg.rf.sSksp3LBJpQi1ohZIjYl.jpg,A+,A,0.15050251335943657,132.36581,97.22323,97.21695,23.862387,57.770897,58.9027,108.93531,46.072456,0.24988936170212767
train,A+ (14)_jpg.rf.sSksp3LBJpQi1ohZIjYl.jpg,A+,D,0.09149627474881797,154.68988,101.47517,101.71796,22.987247,63.50872,61.700058,119.29436,48.699047,0.24999439662901202
train,B- (95)_jpg.rf.Y9dEJiYDftKo36eOzT7I.jpg,B-,B,0.3213051263529595,158.81274,89.45279,77.59422,16.134306,56.25226,57.072174,108.61991,41.709408,0.25
train,A- (43)_jpg.rf.s3BKqwgQwOZuiTzXcYb7.jpg,A-,A,0.2074086991155158,117.70426,151.50853,157.55658,31.444492,25.879272,24.421257,142.25645,23.171856,0.24866871479774705
train,AB+ (65)_jpg.rf.zdz4tb5LQL1bIP4xVzJ3.jpg,AB+,A,0.18343344816786722,117.25611,142.54361,148.42241,34.552113,33.22505,32.710205,136.07404,30.668718,0.24998809240295308
train,AB+ (65)_jpg.rf.zdz4tb5LQL1bIP4xVzJ3.jpg,AB+,D,0.26374019165187734,151.2109,93.93178,86.94496,10.852483,34.851307,36.559174,110.69589,26.126669,0.24828834759710336
train,AB+ (65)_jpg.rf.zdz4tb5LQL1bIP4xVzJ3.jpg,AB+,B,0.1969291636218116,143.57869,114.215614,79.2325,15.79158,41.01927,41.60939,112.34227,30.266163,0.24995569339831636
train,B- (59)_jpg.rf.ZHIVH741SpFVio83pHHl.jpg,B-,D,0.1443667171560223,163.12569,85.255325,64.460915,10.742743,45.201454,48.814266,104.28065,34.228897,0.24976061283115225
train,AB- (78)_jpg.rf.YdudfjWrJqkNQjLgATv5.jpg,AB-,A,0.2453088455515067,109.709984,149.41165,155.87164,29.0185,28.333328,26.739182,138.33109,23.814419,0.24998431848119262
train,AB- (78)_jpg.rf.YdudfjWrJqkNQjLgATv5.jpg,AB-,B,0.28518170344742877,159.1591,132.57376,113.389694,16.878973,48.38095,49.7491,135.04085,36.62411,0.2499753467148377
