split,image_id,file_name,original_name,blood_group,abo,rh,width,height,image_area,image_path
train,0,B- (8)_jpg.rf.Y4gSPakmKnxXtqrN20gd.jpg,B- (8).jpg,B-,B,-,2644,868,2294992,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (8)_jpg.rf.Y4gSPakmKnxXtqrN20gd.jpg
train,1,AB- (59)_jpg.rf.XqNFkV6f7JNjc2LlN7za.jpg,AB- (59).jpg,AB-,AB,-,991,302,299282,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (59)_jpg.rf.XqNFkV6f7JNjc2LlN7za.jpg
train,2,A+ (7)_jpg.rf.YMFIioqVqZGqD5EMeCtF.jpg,A+ (7).jpg,A+,A,+,1995,607,1210965,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (7)_jpg.rf.YMFIioqVqZGqD5EMeCtF.jpg
train,3,A+ (14)_jpg.rf.sSksp3LBJpQi1ohZIjYl.jpg,A+ (14).jpg,A+,A,+,2538,768,1949184,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (14)_jpg.rf.sSksp3LBJpQi1ohZIjYl.jpg
train,4,B- (95)_jpg.rf.Y9dEJiYDftKo36eOzT7I.jpg,B- (95).jpg,B-,B,-,1019,341,347479,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (95)_jpg.rf.Y9dEJiYDftKo36eOzT7I.jpg
train,5,A- (43)_jpg.rf.s3BKqwgQwOZuiTzXcYb7.jpg,A- (43).jpg,A-,A,-,1104,340,375360,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A- (43)_jpg.rf.s3BKqwgQwOZuiTzXcYb7.jpg
train,6,AB+ (65)_jpg.rf.zdz4tb5LQL1bIP4xVzJ3.jpg,AB+ (65).jpg,AB+,AB,+,927,248,229896,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (65)_jpg.rf.zdz4tb5LQL1bIP4xVzJ3.jpg
train,7,B- (59)_jpg.rf.ZHIVH741SpFVio83pHHl.jpg,B- (59).jpg,B-,B,-,2333,800,1866400,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (59)_jpg.rf.ZHIVH741SpFVio83pHHl.jpg
train,8,AB- (78)_jpg.rf.YdudfjWrJqkNQjLgATv5.jpg,AB- (78).jpg,AB-,AB,-,1136,344,390784,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (78)_jpg.rf.YdudfjWrJqkNQjLgATv5.jpg
train,9,A+ (64)_jpg.rf.ZA6drWo0hodhbR2tcAy8.jpg,A+ (64).jpg,A+,A,+,1007,368,370576,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (64)_jpg.rf.ZA6drWo0hodhbR2tcAy8.jpg
